file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\governance\GovernanceRuleRepository.java,org.apache.dubbo.rpc.cluster.governance.GovernanceRuleRepository,interface,3,11,8,3,6,1,0,3,13,0.6666667,0.06666667,0.06666667,6,0,0,0,0,6,6,0,0,0,1,0,0,0,0,1,0,0,0,15,1,0,0,0,0,2,1,1,0,1,0,0,0,0,85,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-remoting\dubbo-remoting-netty4\src\main\java\org\apache\dubbo\remoting\transport\netty4\NettyClient.java,org.apache.dubbo.remoting.transport.netty4.NettyClient,class,15,19,4,15,25,2,0,36,46,0.85714287,0.24242425,0.42424244,13,0,2,1,9,1,12,0,0,0,7,5,0,7,0,0,5,0,7,127,9,0,3,5,1,17,0,15,5,15,6,1,0,2,105,1,3
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\ServiceConfigTest.java,org.apache.dubbo.config.ServiceConfigTest$Anonymous15,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,-1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\PojoUtilsTest.java,org.apache.dubbo.common.utils.PojoUtilsTest$BasicTestData,innerclass,1,1,0,1,14,1,0,1,0,0.083333336,1.0,1.0,3,0,3,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,61,12,0,10,0,4,0,4,19,16,11,1,0,0,0,24,9,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-serialization\dubbo-serialization-api\src\main\java\org\apache\dubbo\common\serialize\ObjectOutput.java,org.apache.dubbo.common.serialize.ObjectOutput,interface,2,14,12,2,4,1,0,1,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-plugin\dubbo-qos\src\test\java\org\apache\dubbo\qos\legacy\service\Man.java,org.apache.dubbo.qos.legacy.service.Man,class,0,2,2,0,4,1,0,0,2,0.6666667,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,17,2,0,0,0,0,0,1,3,0,3,0,0,0,0,15,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\ServiceConfigTest.java,org.apache.dubbo.config.ServiceConfigTest$Anonymous10,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-test\dubbo-test-common\src\main\java\org\apache\dubbo\test\common\api\GreetingService.java,org.apache.dubbo.test.common.api.GreetingService,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\ServiceConfigTest.java,org.apache.dubbo.config.ServiceConfigTest$Anonymous12,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\ServiceConfigTest.java,org.apache.dubbo.config.ServiceConfigTest$Anonymous11,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\My-Pc\Documents\Project\Repo\dubbo\dubbo-compatible\src\main\java\com\alibaba\dubbo\registry\support\AbstractRegistry.java,com.alibaba.dubbo.registry.support.AbstractRegistry,class,10,11,1,10,18,2,0,30,0,0.2777778,0.50980395,0.50980395,18,0,15,0,2,1,18,0,1,0,1,0,0,1,0,0,0,0,7,77,9,0,0,0,0,0,0,1,0,13,2,0,1,12,32,1025,0
